ibbis_flag,ibbis_max_similarity,ibbis_fragments_flagged,n_fragments,order_id,label,label_name,target_segment,coverage,mutation_rate
CLEAR,0.0303,0,5,BEN-0103,0,benign,none,0.0,0.0
CLEAR,0.3333,0,5,BEN-0143,0,benign,none,0.0,0.0
CLEAR,0.0137,0,1,BEN-0020,0,benign,none,0.0,0.0
ALERT,0.5172,1,9,H1N-PAR-0008,3,suspicious_partial,H1N1_HA_segment,0.369,0.129
CLEAR,0.0417,0,3,BEN-0089,0,benign,none,0.0,0.0
CLEAR,0.1667,0,3,BEN-0126,0,benign,none,0.0,0.0
CLEAR,0.4176,0,9,H1N-PAR-0019,3,suspicious_partial,H1N1_HA_segment,0.387,0.091
CLEAR,0.3271,0,8,H1N-PAR-0018,3,suspicious_partial,H1N1_HA_segment,0.408,0.123
CLEAR,0.3204,0,4,H1N-PAR-0010,9,suspicious_partial,H1N1_NP_segment,0.265,0.117
ALERT,0.5105,1,10,H1N-PAR-0005,3,suspicious_partial,H1N1_HA_segment,0.478,0.095
CLEAR,0.4602,0,6,H1N-PAR-0015,3,suspicious_partial,H1N1_HA_segment,0.282,0.115
ALERT,0.5882,1,7,H1N-PAR-0014,3,suspicious_partial,H1N1_HA_segment,0.282,0.092
ALERT,0.5952,4,9,H1N-MED-0027,8,suspicious_medium,H1N1_NP_segment,0.685,0.054
ALERT,0.5385,2,5,BEN-0113,0,benign,none,0.0,0.0
ALERT,0.6593,6,8,H1N-MED-0019,8,suspicious_medium,H1N1_NP_segment,0.569,0.042
ALERT,0.7222,6,12,H1N-MED-0008,2,suspicious_medium,H1N1_HA_segment,0.665,0.053
ALERT,0.8,4,8,H1N-MED-0014,8,suspicious_medium,H1N1_NP_segment,0.57,0.058
ALERT,0.9783,12,16,H1N-HIG-0012,7,suspicious_high,H1N1_NP_segment,0.927,0.019
ALERT,0.8841,19,19,H1N-HIG-0009,1,suspicious_high,H1N1_HA_segment,0.931,0.007
ALERT,0.6,1,6,H1N-PAR-0007,6,suspicious_partial,H1N1_NA_segment,0.334,0.127
CLEAR,0.3061,0,2,BEN-0051,0,benign,none,0.0,0.0
ALERT,0.5625,2,9,H1N-MED-0029,8,suspicious_medium,H1N1_NP_segment,0.652,0.076
CLEAR,0.0526,0,5,BEN-0141,0,benign,none,0.0,0.0
CLEAR,0.1579,0,3,BEN-0093,0,benign,none,0.0,0.0
ALERT,0.5135,1,10,H1N-PAR-0002,3,suspicious_partial,H1N1_HA_segment,0.452,0.098
CLEAR,0.375,0,3,BEN-0028,0,benign,none,0.0,0.0
ALERT,0.7584,5,11,H1N-MED-0009,8,suspicious_medium,H1N1_NP_segment,0.774,0.052
CLEAR,0.1014,0,2,BEN-0087,0,benign,none,0.0,0.0
CLEAR,0.0189,0,1,BEN-0145,0,benign,none,0.0,0.0
ALERT,1.0,11,11,H1N-HIG-0027,7,suspicious_high,H1N1_NP_segment,0.864,0.005
CLEAR,0.0185,0,2,BEN-0003,0,benign,none,0.0,0.0
ALERT,1.0,12,13,H1N-HIG-0005,7,suspicious_high,H1N1_NP_segment,0.915,0.005
CLEAR,0.1429,0,2,BEN-0037,0,benign,none,0.0,0.0
ALERT,1.0,14,16,H1N-HIG-0017,4,suspicious_high,H1N1_NA_segment,0.913,0.005
ALERT,0.8919,15,18,H1N-HIG-0001,1,suspicious_high,H1N1_HA_segment,0.856,0.017
ALERT,0.5135,1,7,H1N-PAR-0012,6,suspicious_partial,H1N1_NA_segment,0.365,0.098
CLEAR,0.1186,0,5,BEN-0112,0,benign,none,0.0,0.0
CLEAR,0.4386,0,7,H1N-PAR-0011,9,suspicious_partial,H1N1_NP_segment,0.449,0.094
CLEAR,0.1667,0,5,BEN-0108,0,benign,none,0.0,0.0
CLEAR,0.4722,0,7,H1N-PAR-0004,3,suspicious_partial,H1N1_HA_segment,0.338,0.094
ALERT,0.8559,11,15,H1N-HIG-0006,7,suspicious_high,H1N1_NP_segment,0.887,0.016
ALERT,0.8986,16,19,H1N-HIG-0018,1,suspicious_high,H1N1_HA_segment,0.916,0.013
ALERT,0.7744,8,11,H1N-MED-0020,8,suspicious_medium,H1N1_NP_segment,0.728,0.051
ALERT,0.9792,11,13,H1N-HIG-0025,7,suspicious_high,H1N1_NP_segment,0.833,0.014
CLEAR,0.3617,0,4,H1N-PAR-0026,9,suspicious_partial,H1N1_NP_segment,0.27,0.124
ALERT,0.7255,5,7,H1N-MED-0008,8,suspicious_medium,H1N1_NP_segment,0.553,0.042
CLEAR,0.0968,0,4,BEN-0144,0,benign,none,0.0,0.0
ALERT,1.0,10,15,H1N-HIG-0017,7,suspicious_high,H1N1_NP_segment,0.857,0.019
CLEAR,0.4141,0,5,H1N-PAR-0013,6,suspicious_partial,H1N1_NA_segment,0.318,0.127
CLEAR,0.3645,0,6,H1N-PAR-0028,6,suspicious_partial,H1N1_NA_segment,0.306,0.1
CLEAR,0.3072,0,8,H1N-PAR-0001,6,suspicious_partial,H1N1_NA_segment,0.472,0.122
CLEAR,0.4177,0,7,H1N-PAR-0014,9,suspicious_partial,H1N1_NP_segment,0.407,0.116
CLEAR,0.0,0,1,BEN-0041,0,benign,none,0.0,0.0
CLEAR,0.4815,0,12,H1N-MED-0007,5,suspicious_medium,H1N1_NA_segment,0.659,0.078
ALERT,0.6782,4,11,H1N-MED-0000,5,suspicious_medium,H1N1_NA_segment,0.656,0.057
CLEAR,0.2883,0,6,H1N-PAR-0028,3,suspicious_partial,H1N1_HA_segment,0.304,0.135
CLEAR,0.0286,0,4,BEN-0060,0,benign,none,0.0,0.0
ALERT,0.5556,1,12,H1N-PAR-0022,3,suspicious_partial,H1N1_HA_segment,0.479,0.115
CLEAR,0.0769,0,5,BEN-0084,0,benign,none,0.0,0.0
ALERT,0.6301,6,14,H1N-MED-0010,2,suspicious_medium,H1N1_HA_segment,0.708,0.048
CLEAR,0.2281,0,1,BEN-0088,0,benign,none,0.0,0.0
CLEAR,0.0182,0,2,BEN-0023,0,benign,none,0.0,0.0
ALERT,0.5065,1,8,H1N-PAR-0008,9,suspicious_partial,H1N1_NP_segment,0.479,0.121
CLEAR,0.1803,0,3,BEN-0036,0,benign,none,0.0,0.0
ALERT,0.932,15,16,H1N-HIG-0026,1,suspicious_high,H1N1_HA_segment,0.916,0.013
CLEAR,0.3846,0,6,H1N-PAR-0012,3,suspicious_partial,H1N1_HA_segment,0.281,0.117
ALERT,1.0,14,14,H1N-HIG-0008,7,suspicious_high,H1N1_NP_segment,0.947,0.0
CLEAR,0.1892,0,1,BEN-0083,0,benign,none,0.0,0.0
CLEAR,0.2059,0,3,BEN-0047,0,benign,none,0.0,0.0
ALERT,0.894,16,16,H1N-HIG-0014,1,suspicious_high,H1N1_HA_segment,0.858,0.01
CLEAR,0.3056,0,8,H1N-PAR-0008,6,suspicious_partial,H1N1_NA_segment,0.407,0.116
ALERT,1.0,13,14,H1N-HIG-0019,4,suspicious_high,H1N1_NA_segment,0.91,0.018
ALERT,0.84,12,15,H1N-HIG-0001,7,suspicious_high,H1N1_NP_segment,0.885,0.02
ALERT,0.9048,13,15,H1N-HIG-0016,4,suspicious_high,H1N1_NA_segment,0.816,0.016
CLEAR,0.1364,0,3,BEN-0006,0,benign,none,0.0,0.0
ALERT,0.6195,3,16,H1N-MED-0017,2,suspicious_medium,H1N1_HA_segment,0.706,0.069
CLEAR,0.1233,0,2,BEN-0050,0,benign,none,0.0,0.0
CLEAR,0.4074,0,4,BEN-0018,0,benign,none,0.0,0.0
CLEAR,0.1071,0,2,BEN-0062,0,benign,none,0.0,0.0
CLEAR,0.0649,0,3,BEN-0075,0,benign,none,0.0,0.0
ALERT,0.6538,4,11,H1N-MED-0022,5,suspicious_medium,H1N1_NA_segment,0.681,0.075
CLEAR,0.4222,0,7,H1N-PAR-0019,9,suspicious_partial,H1N1_NP_segment,0.417,0.108
CLEAR,0.1321,0,2,BEN-0065,0,benign,none,0.0,0.0
ALERT,1.0,21,21,H1N-HIG-0007,1,suspicious_high,H1N1_HA_segment,0.913,0.005
CLEAR,0.2174,0,5,BEN-0029,0,benign,none,0.0,0.0
ALERT,0.6098,3,10,H1N-MED-0022,8,suspicious_medium,H1N1_NP_segment,0.721,0.065
CLEAR,0.0909,0,4,BEN-0013,0,benign,none,0.0,0.0
CLEAR,0.1746,0,5,BEN-0044,0,benign,none,0.0,0.0
ALERT,0.9836,15,16,H1N-HIG-0024,1,suspicious_high,H1N1_HA_segment,0.812,0.006
ALERT,0.5814,6,15,H1N-MED-0003,2,suspicious_medium,H1N1_HA_segment,0.679,0.067
ALERT,0.5814,1,8,H1N-PAR-0017,3,suspicious_partial,H1N1_HA_segment,0.404,0.094
ALERT,0.5188,1,10,H1N-PAR-0010,3,suspicious_partial,H1N1_HA_segment,0.454,0.103
ALERT,0.92,11,13,H1N-MED-0027,2,suspicious_medium,H1N1_HA_segment,0.597,0.041
ALERT,0.9385,11,12,H1N-HIG-0011,7,suspicious_high,H1N1_NP_segment,0.829,0.018
ALERT,0.66,4,8,H1N-MED-0005,8,suspicious_medium,H1N1_NP_segment,0.578,0.072
ALERT,0.6779,5,10,H1N-MED-0008,5,suspicious_medium,H1N1_NA_segment,0.552,0.054
CLEAR,0.0541,0,1,BEN-0071,0,benign,none,0.0,0.0
CLEAR,0.3016,0,2,BEN-0016,0,benign,none,0.0,0.0
CLEAR,0.1818,0,4,BEN-0092,0,benign,none,0.0,0.0
ALERT,1.0,15,15,H1N-HIG-0024,4,suspicious_high,H1N1_NA_segment,0.898,0.002
ALERT,1.0,15,15,H1N-HIG-0006,4,suspicious_high,H1N1_NA_segment,0.855,0.002
ALERT,0.9467,13,14,H1N-HIG-0003,4,suspicious_high,H1N1_NA_segment,0.891,0.009
CLEAR,0.1818,0,4,BEN-0078,0,benign,none,0.0,0.0
CLEAR,0.2,0,4,BEN-0022,0,benign,none,0.0,0.0
CLEAR,0.0968,0,1,BEN-0046,0,benign,none,0.0,0.0
ALERT,0.5484,5,15,H1N-MED-0005,5,suspicious_medium,H1N1_NA_segment,0.758,0.071
ALERT,0.7778,6,13,H1N-MED-0019,5,suspicious_medium,H1N1_NA_segment,0.728,0.05
CLEAR,0.1111,0,1,BEN-0135,0,benign,none,0.0,0.0
CLEAR,0.0938,0,4,BEN-0019,0,benign,none,0.0,0.0
ALERT,1.0,15,17,H1N-HIG-0014,4,suspicious_high,H1N1_NA_segment,0.88,0.014
CLEAR,0.375,0,7,H1N-PAR-0009,6,suspicious_partial,H1N1_NA_segment,0.352,0.123
CLEAR,0.027,0,1,BEN-0027,0,benign,none,0.0,0.0
ALERT,0.561,2,12,H1N-MED-0005,2,suspicious_medium,H1N1_HA_segment,0.678,0.062
ALERT,0.5741,2,10,H1N-MED-0010,5,suspicious_medium,H1N1_NA_segment,0.566,0.072
CLEAR,0.2816,0,8,H1N-PAR-0024,3,suspicious_partial,H1N1_HA_segment,0.41,0.114
CLEAR,0.0545,0,4,BEN-0129,0,benign,none,0.0,0.0
CLEAR,0.0189,0,3,BEN-0110,0,benign,none,0.0,0.0
ALERT,0.5402,1,10,H1N-MED-0025,8,suspicious_medium,H1N1_NP_segment,0.632,0.067
ALERT,0.5789,2,5,H1N-PAR-0014,6,suspicious_partial,H1N1_NA_segment,0.321,0.089
ALERT,1.0,15,15,H1N-HIG-0025,1,suspicious_high,H1N1_HA_segment,0.842,0.002
CLEAR,0.0566,0,4,BEN-0107,0,benign,none,0.0,0.0
ALERT,0.875,12,13,H1N-HIG-0010,7,suspicious_high,H1N1_NP_segment,0.856,0.006
CLEAR,0.2593,0,2,BEN-0015,0,benign,none,0.0,0.0
CLEAR,0.0769,0,4,BEN-0102,0,benign,none,0.0,0.0
CLEAR,0.1622,0,4,BEN-0077,0,benign,none,0.0,0.0
CLEAR,0.2258,0,5,BEN-0148,0,benign,none,0.0,0.0
ALERT,0.7055,8,11,H1N-MED-0026,5,suspicious_medium,H1N1_NA_segment,0.696,0.045
CLEAR,0.0685,0,4,BEN-0128,0,benign,none,0.0,0.0
ALERT,0.9223,11,13,H1N-HIG-0028,7,suspicious_high,H1N1_NP_segment,0.919,0.019
ALERT,0.5079,1,11,H1N-PAR-0013,3,suspicious_partial,H1N1_HA_segment,0.454,0.131
ALERT,0.5031,1,6,H1N-PAR-0007,3,suspicious_partial,H1N1_HA_segment,0.382,0.102
CLEAR,0.0933,0,3,BEN-0085,0,benign,none,0.0,0.0
ALERT,0.9286,13,15,H1N-HIG-0022,4,suspicious_high,H1N1_NA_segment,0.851,0.006
ALERT,0.9828,12,12,H1N-HIG-0015,7,suspicious_high,H1N1_NP_segment,0.849,0.008
CLEAR,0.3333,0,8,H1N-PAR-0005,6,suspicious_partial,H1N1_NA_segment,0.389,0.105
ALERT,0.4925,1,7,H1N-PAR-0012,9,suspicious_partial,H1N1_NP_segment,0.485,0.104
CLEAR,0.2174,0,4,BEN-0010,0,benign,none,0.0,0.0
CLEAR,0.2667,0,4,BEN-0101,0,benign,none,0.0,0.0
ALERT,0.918,9,14,H1N-MED-0026,2,suspicious_medium,H1N1_HA_segment,0.687,0.044
CLEAR,0.0698,0,4,BEN-0040,0,benign,none,0.0,0.0
CLEAR,0.1169,0,5,BEN-0111,0,benign,none,0.0,0.0
ALERT,0.828,17,19,H1N-HIG-0004,1,suspicious_high,H1N1_HA_segment,0.913,0.018
ALERT,0.9649,15,17,H1N-HIG-0007,4,suspicious_high,H1N1_NA_segment,0.926,0.012
ALERT,0.9504,12,16,H1N-HIG-0000,1,suspicious_high,H1N1_HA_segment,0.821,0.019
CLEAR,0.386,0,10,H1N-PAR-0026,3,suspicious_partial,H1N1_HA_segment,0.425,0.132
CLEAR,0.037,0,3,BEN-0123,0,benign,none,0.0,0.0
CLEAR,0.1852,0,5,BEN-0109,0,benign,none,0.0,0.0
CLEAR,0.075,0,1,BEN-0096,0,benign,none,0.0,0.0
ALERT,0.6863,5,15,H1N-MED-0019,2,suspicious_medium,H1N1_HA_segment,0.643,0.065
ALERT,1.0,13,13,H1N-HIG-0023,7,suspicious_high,H1N1_NP_segment,0.884,0.004
ALERT,1.0,16,17,H1N-HIG-0004,4,suspicious_high,H1N1_NA_segment,0.94,0.005
CLEAR,0.0667,0,2,BEN-0035,0,benign,none,0.0,0.0
ALERT,1.0,11,14,H1N-HIG-0019,7,suspicious_high,H1N1_NP_segment,0.921,0.01
CLEAR,0.4601,0,7,H1N-PAR-0011,3,suspicious_partial,H1N1_HA_segment,0.339,0.11
CLEAR,0.4667,0,6,H1N-PAR-0004,9,suspicious_partial,H1N1_NP_segment,0.352,0.136
CLEAR,0.3578,0,8,H1N-PAR-0023,3,suspicious_partial,H1N1_HA_segment,0.396,0.135
ALERT,1.0,15,15,H1N-HIG-0020,4,suspicious_high,H1N1_NA_segment,0.93,0.002
ALERT,0.8058,2,9,H1N-MED-0021,8,suspicious_medium,H1N1_NP_segment,0.552,0.053
ALERT,0.7258,4,10,H1N-MED-0014,5,suspicious_medium,H1N1_NA_segment,0.631,0.051
CLEAR,0.1707,0,1,BEN-0091,0,benign,none,0.0,0.0
CLEAR,0.2963,0,1,BEN-0138,0,benign,none,0.0,0.0
ALERT,1.0,7,11,H1N-MED-0002,8,suspicious_medium,H1N1_NP_segment,0.644,0.06
ALERT,0.6154,3,11,H1N-MED-0011,8,suspicious_medium,H1N1_NP_segment,0.735,0.047
ALERT,0.8957,11,13,H1N-HIG-0000,7,suspicious_high,H1N1_NP_segment,0.845,0.013
ALERT,0.5636,2,10,H1N-MED-0000,8,suspicious_medium,H1N1_NP_segment,0.684,0.069
ALERT,0.6667,7,15,H1N-MED-0022,2,suspicious_medium,H1N1_HA_segment,0.772,0.06
CLEAR,0.1045,0,3,BEN-0146,0,benign,none,0.0,0.0
CLEAR,0.3929,0,6,H1N-PAR-0027,6,suspicious_partial,H1N1_NA_segment,0.388,0.121
CLEAR,0.3864,0,5,H1N-PAR-0029,6,suspicious_partial,H1N1_NA_segment,0.325,0.122
CLEAR,0.2174,0,2,BEN-0064,0,benign,none,0.0,0.0
ALERT,1.0,11,14,H1N-HIG-0008,4,suspicious_high,H1N1_NA_segment,0.882,0.019
CLEAR,0.44,0,4,H1N-PAR-0025,9,suspicious_partial,H1N1_NP_segment,0.267,0.127
ALERT,0.5472,2,7,H1N-PAR-0011,6,suspicious_partial,H1N1_NA_segment,0.36,0.108
CLEAR,0.1034,0,3,BEN-0147,0,benign,none,0.0,0.0
ALERT,0.9626,19,20,H1N-HIG-0020,1,suspicious_high,H1N1_HA_segment,0.944,0.013
ALERT,0.7531,9,12,H1N-MED-0013,5,suspicious_medium,H1N1_NA_segment,0.727,0.041
CLEAR,0.2464,0,3,BEN-0124,0,benign,none,0.0,0.0
CLEAR,0.2143,0,5,BEN-0105,0,benign,none,0.0,0.0
CLEAR,0.0571,0,5,BEN-0120,0,benign,none,0.0,0.0
CLEAR,0.2727,0,4,BEN-0125,0,benign,none,0.0,0.0
ALERT,1.0,11,11,H1N-HIG-0013,7,suspicious_high,H1N1_NP_segment,0.841,0.009
CLEAR,0.0612,0,1,BEN-0061,0,benign,none,0.0,0.0
CLEAR,0.4891,0,10,H1N-PAR-0002,6,suspicious_partial,H1N1_NA_segment,0.429,0.105
ALERT,0.7037,4,9,H1N-MED-0004,8,suspicious_medium,H1N1_NP_segment,0.531,0.044
CLEAR,0.2308,0,5,BEN-0130,0,benign,none,0.0,0.0
ALERT,0.4963,1,8,H1N-PAR-0001,3,suspicious_partial,H1N1_HA_segment,0.359,0.124
ALERT,0.8969,4,10,H1N-MED-0020,5,suspicious_medium,H1N1_NA_segment,0.535,0.074
CLEAR,0.1515,0,5,BEN-0021,0,benign,none,0.0,0.0
ALERT,0.8769,12,13,H1N-HIG-0003,7,suspicious_high,H1N1_NP_segment,0.888,0.019
ALERT,0.5,1,13,H1N-MED-0004,2,suspicious_medium,H1N1_HA_segment,0.626,0.077
ALERT,0.5276,1,14,H1N-MED-0018,5,suspicious_medium,H1N1_NA_segment,0.734,0.079
ALERT,1.0,12,12,H1N-HIG-0002,4,suspicious_high,H1N1_NA_segment,0.806,0.011
CLEAR,0.434,0,5,BEN-0131,0,benign,none,0.0,0.0
CLEAR,0.0513,0,2,BEN-0118,0,benign,none,0.0,0.0
CLEAR,0.1642,0,3,BEN-0052,0,benign,none,0.0,0.0
CLEAR,0.0769,0,3,BEN-0094,0,benign,none,0.0,0.0
CLEAR,0.3793,0,5,H1N-PAR-0006,9,suspicious_partial,H1N1_NP_segment,0.388,0.127
ALERT,0.6348,4,13,H1N-MED-0020,2,suspicious_medium,H1N1_HA_segment,0.541,0.058
ALERT,0.914,14,16,H1N-HIG-0002,1,suspicious_high,H1N1_HA_segment,0.818,0.011
CLEAR,0.2364,0,4,BEN-0054,0,benign,none,0.0,0.0
ALERT,1.0,6,10,H1N-MED-0028,8,suspicious_medium,H1N1_NP_segment,0.533,0.042
ALERT,0.8242,10,14,H1N-MED-0007,2,suspicious_medium,H1N1_HA_segment,0.612,0.055
ALERT,0.5593,3,10,H1N-MED-0023,8,suspicious_medium,H1N1_NP_segment,0.674,0.059
ALERT,0.7538,4,8,H1N-MED-0017,8,suspicious_medium,H1N1_NP_segment,0.541,0.042
CLEAR,0.3717,0,5,H1N-PAR-0004,6,suspicious_partial,H1N1_NA_segment,0.278,0.132
CLEAR,0.2131,0,4,BEN-0114,0,benign,none,0.0,0.0
ALERT,0.7429,5,10,H1N-MED-0025,5,suspicious_medium,H1N1_NA_segment,0.52,0.045
ALERT,0.7419,3,11,H1N-MED-0012,8,suspicious_medium,H1N1_NP_segment,0.714,0.046
CLEAR,0.1081,0,5,BEN-0072,0,benign,none,0.0,0.0
CLEAR,0.4327,0,5,H1N-PAR-0006,6,suspicious_partial,H1N1_NA_segment,0.345,0.127
CLEAR,0.2239,0,4,BEN-0104,0,benign,none,0.0,0.0
CLEAR,0.2424,0,4,BEN-0081,0,benign,none,0.0,0.0
ALERT,0.7692,7,12,H1N-MED-0009,2,suspicious_medium,H1N1_HA_segment,0.588,0.046
CLEAR,0.125,0,5,BEN-0038,0,benign,none,0.0,0.0
ALERT,0.9194,13,15,H1N-HIG-0009,4,suspicious_high,H1N1_NA_segment,0.883,0.02
ALERT,0.7143,1,7,H1N-PAR-0007,9,suspicious_partial,H1N1_NP_segment,0.435,0.102
ALERT,0.7528,6,11,H1N-MED-0016,2,suspicious_medium,H1N1_HA_segment,0.596,0.048
ALERT,0.697,4,11,H1N-MED-0026,8,suspicious_medium,H1N1_NP_segment,0.75,0.065
ALERT,1.0,12,13,H1N-HIG-0010,4,suspicious_high,H1N1_NA_segment,0.801,0.005
ALERT,0.8933,6,11,H1N-MED-0029,5,suspicious_medium,H1N1_NA_segment,0.586,0.041
ALERT,0.8933,17,17,H1N-HIG-0003,1,suspicious_high,H1N1_HA_segment,0.853,0.019
CLEAR,0.2477,0,4,H1N-PAR-0020,9,suspicious_partial,H1N1_NP_segment,0.265,0.127
ALERT,0.7778,5,14,H1N-MED-0006,5,suspicious_medium,H1N1_NA_segment,0.768,0.058
ALERT,0.5972,2,15,H1N-MED-0002,2,suspicious_medium,H1N1_HA_segment,0.713,0.077
ALERT,1.0,18,21,H1N-HIG-0015,1,suspicious_high,H1N1_HA_segment,0.886,0.002
CLEAR,0.0377,0,2,BEN-0137,0,benign,none,0.0,0.0
ALERT,0.6306,2,9,H1N-MED-0003,8,suspicious_medium,H1N1_NP_segment,0.661,0.07
ALERT,0.6441,1,8,H1N-PAR-0021,6,suspicious_partial,H1N1_NA_segment,0.463,0.105
CLEAR,0.0545,0,2,BEN-0063,0,benign,none,0.0,0.0
CLEAR,0.44,0,3,BEN-0034,0,benign,none,0.0,0.0
CLEAR,0.1429,0,4,BEN-0115,0,benign,none,0.0,0.0
CLEAR,0.0435,0,2,BEN-0097,0,benign,none,0.0,0.0
CLEAR,0.3248,0,5,H1N-PAR-0028,9,suspicious_partial,H1N1_NP_segment,0.369,0.121
CLEAR,0.16,0,4,BEN-0053,0,benign,none,0.0,0.0
CLEAR,0.0182,0,1,BEN-0100,0,benign,none,0.0,0.0
ALERT,0.971,12,13,H1N-HIG-0027,4,suspicious_high,H1N1_NA_segment,0.924,0.014
CLEAR,0.0294,0,2,BEN-0039,0,benign,none,0.0,0.0
ALERT,0.5372,1,13,H1N-MED-0025,2,suspicious_medium,H1N1_HA_segment,0.562,0.08
CLEAR,0.1176,0,5,BEN-0012,0,benign,none,0.0,0.0
ALERT,0.5258,1,5,H1N-PAR-0000,6,suspicious_partial,H1N1_NA_segment,0.28,0.09
CLEAR,0.2464,0,2,BEN-0045,0,benign,none,0.0,0.0
CLEAR,0.3656,0,8,H1N-PAR-0016,6,suspicious_partial,H1N1_NA_segment,0.485,0.126
ALERT,0.4943,1,11,H1N-MED-0024,8,suspicious_medium,H1N1_NP_segment,0.749,0.069
CLEAR,0.0333,0,2,BEN-0132,0,benign,none,0.0,0.0
CLEAR,0.0526,0,3,BEN-0116,0,benign,none,0.0,0.0
ALERT,0.8636,11,13,H1N-HIG-0005,4,suspicious_high,H1N1_NA_segment,0.843,0.014
CLEAR,0.4749,0,8,H1N-PAR-0009,9,suspicious_partial,H1N1_NP_segment,0.48,0.109
CLEAR,0.4526,0,6,H1N-PAR-0023,9,suspicious_partial,H1N1_NP_segment,0.319,0.091
ALERT,0.6667,3,8,H1N-MED-0016,8,suspicious_medium,H1N1_NP_segment,0.632,0.051
ALERT,0.5172,1,4,BEN-0043,0,benign,none,0.0,0.0
ALERT,1.0,13,14,H1N-HIG-0011,4,suspicious_high,H1N1_NA_segment,0.881,0.005
ALERT,0.5385,1,9,H1N-PAR-0006,3,suspicious_partial,H1N1_HA_segment,0.447,0.131
ALERT,1.0,12,12,H1N-HIG-0014,7,suspicious_high,H1N1_NP_segment,0.803,0.014
CLEAR,0.1707,0,1,BEN-0082,0,benign,none,0.0,0.0
ALERT,0.9286,13,13,H1N-HIG-0004,7,suspicious_high,H1N1_NP_segment,0.804,0.006
CLEAR,0.3448,0,5,BEN-0057,0,benign,none,0.0,0.0
CLEAR,0.4194,0,5,H1N-PAR-0020,6,suspicious_partial,H1N1_NA_segment,0.352,0.09
ALERT,1.0,14,15,H1N-HIG-0029,7,suspicious_high,H1N1_NP_segment,0.936,0.01
